max:99000000, current lowest:399
max:98000000, current lowest:399
max:97000000, current lowest:399
max:96000000, current lowest:399
max:95000000, current lowest:399
max:94000000, current lowest:399
max:93000000, current lowest:399
max:92000000, current lowest:399
max:91000000, current lowest:399
max:90000000, current lowest:399
max:89000000, current lowest:399
max:88000000, current lowest:399
max:87000000, current lowest:399
max:86000000, current lowest:399
max:85000000, current lowest:399
max:84000000, current lowest:399
max:83000000, current lowest:399
max:82000000, current lowest:399
max:81000000, current lowest:399
max:80000000, current lowest:399
max:79000000, current lowest:399
max:78000000, current lowest:399
max:77000000, current lowest:399
max:76000000, current lowest:399
max:75000000, current lowest:399
max:74000000, current lowest:399
max:73000000, current lowest:399
max:72000000, current lowest:399
max:71000000, current lowest:399
max:70000000, current lowest:399
max:69000000, current lowest:399
max:68000000, current lowest:399
max:67000000, current lowest:399
max:66000000, current lowest:399
max:65000000, current lowest:399
max:64000000, current lowest:399
max:63000000, current lowest:399
max:62000000, current lowest:399
max:61000000, current lowest:399
max:60000000, current lowest:399
max:59000000, current lowest:399
max:58000000, current lowest:399
max:57000000, current lowest:399
max:56000000, current lowest:399
max:55000000, current lowest:399
max:54000000, current lowest:399
max:53000000, current lowest:399
max:52000000, current lowest:399
max:51000000, current lowest:399
max:50000000, current lowest:399
max:49000000, current lowest:399
max:48000000, current lowest:399
max:47000000, current lowest:399
max:46000000, current lowest:399
max:45000000, current lowest:399
max:44000000, current lowest:399
max:43000000, current lowest:399
max:42000000, current lowest:399
max:41000000, current lowest:399
max:40000000, current lowest:399
max:39000000, current lowest:399
max:38000000, current lowest:399
max:37000000, current lowest:399
max:36000000, current lowest:399
max:35000000, current lowest:399
max:34000000, current lowest:399
max:33000000, current lowest:399
max:32000000, current lowest:399
max:31000000, current lowest:399
max:30000000, current lowest:399
max:29000000, current lowest:399
max:28000000, current lowest:399
max:27000000, current lowest:399
max:26000000, current lowest:399
max:25000000, current lowest:399
max:24000000, current lowest:399
max:23000000, current lowest:399
max:22000000, current lowest:399
max:21000000, current lowest:399
max:20000000, current lowest:399
max:19000000, current lowest:399
max:18000000, current lowest:399
max:17000000, current lowest:399
max:16000000, current lowest:399
max:15000000, current lowest:399
max:14000000, current lowest:399
max:13000000, current lowest:399
max:12000000, current lowest:399
max:11000000, current lowest:399
max:10000000, current lowest:399
max:9000000, current lowest:399
max:8000000, current lowest:399
max:7000000, current lowest:399
max:6000000, current lowest:399
max:5000000, current lowest:399
max:4000000, current lowest:399
max:3000000, current lowest:399
max:2000000, current lowest:399
max:1000000, current lowest:399
max:0, current lowest:399
max:-1, next.size():25900204
lowest:399
FORWARDS
399, 1198, 599, 1798, 899, 2698, 1349, 4048, 2024, 
